category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.it_IT,name.fr_FR,name.el_GR,meta_title.it_IT,meta_title.fr_FR,meta_title.el_GR,meta_description.it_IT,meta_description.fr_FR,meta_description.el_GR,meta_keywords.it_IT,meta_keywords.fr_FR,meta_keywords.el_GR,category_image_name.it_IT,category_image_name.fr_FR,category_image_name.el_GR
SUB_11005,MC_11001,Clothes for Kids,Clothes for Kids,Clothes for Kids,Clothes for Kids,1,1,1,1,0,1,,Catalog (default),,Abiti per bambini,Vêtements pour enfants,Ρούχα για παιδιά,Abiti per bambini,Vêtements pour enfants,Ρούχα για παιδιά,Abiti per bambini,Vêtements pour enfants,Ρούχα για παιδιά,Abiti per bambini,Vêtements pour enfants,Ρούχα για παιδιά,,,
SUB_11005_01,SUB_11005,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Giacche e cappotti per bambini,Vestes et manteaux pour enfants,Παιδικά μπουφάν και παλτά,Giacche e cappotti per bambini,Vestes et manteaux pour enfants,Παιδικά μπουφάν και παλτά,Giacche e cappotti per bambini,Vestes et manteaux pour enfants,Παιδικά μπουφάν και παλτά,Giacche e cappotti per bambini,Vestes et manteaux pour enfants,Παιδικά μπουφάν και παλτά,,,
SUB_11005_02,SUB_11005,Kids Pants,Kids Pants,Kids Pants,Kids Pants,1,1,1,1,0,1,,Catalog (default),,Pantaloni per bambini,Pantalon denfants,Παιδικά παντελόνια,Pantaloni per bambini,Pantalon denfants,Παιδικά παντελόνια,Pantaloni per bambini,Pantalon denfants,Παιδικά παντελόνια,Pantaloni per bambini,Pantalon denfants,Παιδικά παντελόνια,,,
SUB_11005_03,SUB_11005,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,1,1,1,1,0,1,,Catalog (default),,Camicie per bambini,Chemises pour enfants,Πουκάμισα για παιδιά,Camicie per bambini,Chemises pour enfants,Πουκάμισα για παιδιά,Camicie per bambini,Chemises pour enfants,Πουκάμισα για παιδιά,Camicie per bambini,Chemises pour enfants,Πουκάμισα για παιδιά,,,
SUB_11005_04,SUB_11005,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,1,1,1,1,0,1,,Catalog (default),,Abiti per bambini,Robes pour enfants,Φορέματα για παιδιά,Abiti per bambini,Robes pour enfants,Φορέματα για παιδιά,Abiti per bambini,Robes pour enfants,Φορέματα για παιδιά,Abiti per bambini,Robes pour enfants,Φορέματα για παιδιά,,,
SUB_11005_05,SUB_11005,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,1,1,1,1,0,1,,Catalog (default),,Maglioni per bambini,Pulls pour enfants,Παιδικά πουλόβερ,Maglioni per bambini,Pulls pour enfants,Παιδικά πουλόβερ,Maglioni per bambini,Pulls pour enfants,Παιδικά πουλόβερ,Maglioni per bambini,Pulls pour enfants,Παιδικά πουλόβερ,,,
SUB_11005_06,SUB_11005,Children underwear,Children underwear,Children underwear,Children underwear,1,1,1,1,0,1,,Catalog (default),,Biancheria intima per bambini,Sous-vêtements pour enfants,Παιδικά Εσώρουχα,Biancheria intima per bambini,Sous-vêtements pour enfants,Παιδικά Εσώρουχα,Biancheria intima per bambini,Sous-vêtements pour enfants,Παιδικά Εσώρουχα,Biancheria intima per bambini,Sous-vêtements pour enfants,Παιδικά Εσώρουχα,,,
SUB_11005_07,SUB_11005,Children swimwear,Children swimwear,Children swimwear,Children swimwear,1,1,1,1,0,1,,Catalog (default),,Costumi da bagno per bambini,Maillot de bain pour enfants,Παιδικά μαγιό,Costumi da bagno per bambini,Maillot de bain pour enfants,Παιδικά μαγιό,Costumi da bagno per bambini,Maillot de bain pour enfants,Παιδικά μαγιό,Costumi da bagno per bambini,Maillot de bain pour enfants,Παιδικά μαγιό,,,
SUB_11005_08,SUB_11005,Children accessories,Children accessories,Children accessories,Children accessories,1,1,1,1,0,1,,Catalog (default),,Accessori per bambini,Accessoires pour enfants,Παιδικά αξεσουάρ,Accessori per bambini,Accessoires pour enfants,Παιδικά αξεσουάρ,Accessori per bambini,Accessoires pour enfants,Παιδικά αξεσουάρ,Accessori per bambini,Accessoires pour enfants,Παιδικά αξεσουάρ,,,
SUB_11006,MC_11001,Handicrafts,Handicrafts,Handicrafts,Handicrafts,1,1,1,1,0,1,,Catalog (default),,Artigianato,Artisanat,ΕΙΔΗ χειροτεχνιας,Artigianato,Artisanat,ΕΙΔΗ χειροτεχνιας,Artigianato,Artisanat,ΕΙΔΗ χειροτεχνιας,Artigianato,Artisanat,ΕΙΔΗ χειροτεχνιας,,,
SUB_11007,MC_11001,"Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags",1,1,1,1,0,1,920,Catalog (default),,"Valigie, zaini e sacchetti","Valises, sacs à dos et sacs","Βαλίτσες, σακίδια & σακούλες","Valigie, zaini e sacchetti","Valises, sacs à dos et sacs","Βαλίτσες, σακίδια & σακούλες","Valigie, zaini e sacchetti","Valises, sacs à dos et sacs","Βαλίτσες, σακίδια & σακούλες","Valigie, zaini e sacchetti","Valises, sacs à dos et sacs","Βαλίτσες, σακίδια & σακούλες",,,
SUB_11008,MC_11001,Jewelry,Jewelry,Jewelry,Jewelry,1,1,1,1,0,1,,Catalog (default),,Gioielleria,Bijoux,Κοσμήματα,Gioielleria,Bijoux,Κοσμήματα,Gioielleria,Bijoux,Κοσμήματα,Gioielleria,Bijoux,Κοσμήματα,,,
SUB_11009,MC_11001,Shoes,Shoes,Shoes,Shoes,1,1,1,1,0,1,,Catalog (default),,Scarpe,Des chaussures,Παπούτσια,Scarpe,Des chaussures,Παπούτσια,Scarpe,Des chaussures,Παπούτσια,Scarpe,Des chaussures,Παπούτσια,,,
SUB_11009_01,SUB_11009,Shoes for men,Shoes for men,Shoes for men,Shoes for men,1,1,1,1,0,1,,Catalog (default),,Scarpe per uomo,Chaussures pour hommes,Παπούτσια για άνδρες,Scarpe per uomo,Chaussures pour hommes,Παπούτσια για άνδρες,Scarpe per uomo,Chaussures pour hommes,Παπούτσια για άνδρες,Scarpe per uomo,Chaussures pour hommes,Παπούτσια για άνδρες,,,
SUB_11009_02,SUB_11009,Shoes for women,Shoes for women,Shoes for women,Shoes for women,1,1,1,1,0,1,,Catalog (default),,Scarpe per le donne,Chaussures pour femmes,Παπούτσια για γυναίκες,Scarpe per le donne,Chaussures pour femmes,Παπούτσια για γυναίκες,Scarpe per le donne,Chaussures pour femmes,Παπούτσια για γυναίκες,Scarpe per le donne,Chaussures pour femmes,Παπούτσια για γυναίκες,,,
SUB_11009_03,SUB_11009,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,1,1,1,1,0,1,,Catalog (default),,Scarpe per bambini,Chaussures pour enfants,Παπούτσια για παιδιά,Scarpe per bambini,Chaussures pour enfants,Παπούτσια για παιδιά,Scarpe per bambini,Chaussures pour enfants,Παπούτσια για παιδιά,Scarpe per bambini,Chaussures pour enfants,Παπούτσια για παιδιά,,,
SUB_11009_04,SUB_11009,Sneakers,Sneakers,Sneakers,Sneakers,1,1,1,1,0,1,,Catalog (default),,Scarpe da ginnastica,Baskets,Αθλητικά,Scarpe da ginnastica,Baskets,Αθλητικά,Scarpe da ginnastica,Baskets,Αθλητικά,Scarpe da ginnastica,Baskets,Αθλητικά,,,
SUB_11009_05,SUB_11009,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,1,1,1,1,0,1,,Catalog (default),,Scarpe per tutti,Chaussures pour tout le monde,Παπούτσια για όλους,Scarpe per tutti,Chaussures pour tout le monde,Παπούτσια για όλους,Scarpe per tutti,Chaussures pour tout le monde,Παπούτσια για όλους,Scarpe per tutti,Chaussures pour tout le monde,Παπούτσια για όλους,,,
SUB_11010,MC_11001,Watches,Watches,Watches,Watches,1,1,1,1,0,1,,Catalog (default),,Orologi,Montres,Ρολόγια,Orologi,Montres,Ρολόγια,Orologi,Montres,Ρολόγια,Orologi,Montres,Ρολόγια,,,
SUB_11011,MC_11001,Work clothing,Work clothing,Work clothing,Work clothing,1,1,1,1,0,1,,Catalog (default),,Abbigliamento da lavoro,Vêtements de travail,Ρούχα εργασίας,Abbigliamento da lavoro,Vêtements de travail,Ρούχα εργασίας,Abbigliamento da lavoro,Vêtements de travail,Ρούχα εργασίας,Abbigliamento da lavoro,Vêtements de travail,Ρούχα εργασίας,,,
SUB_11012,MC_11001,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,1,1,1,1,0,1,,Catalog (default),,Abbigliamento per tutti,Vêtements pour tous,Ρούχα για όλους,Abbigliamento per tutti,Vêtements pour tous,Ρούχα για όλους,Abbigliamento per tutti,Vêtements pour tous,Ρούχα για όλους,Abbigliamento per tutti,Vêtements pour tous,Ρούχα για όλους,,,
SUB_11012_01,SUB_11012,"Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats",1,1,1,1,0,1,,Catalog (default),,"Abiti, giacche e cappotti","Costumes, vestes et manteaux","Κοστούμια, σακάκια και παλτά","Abiti, giacche e cappotti","Costumes, vestes et manteaux","Κοστούμια, σακάκια και παλτά","Abiti, giacche e cappotti","Costumes, vestes et manteaux","Κοστούμια, σακάκια και παλτά","Abiti, giacche e cappotti","Costumes, vestes et manteaux","Κοστούμια, σακάκια και παλτά",,,
SUB_11012_02,SUB_11012,T-Shirts,T-Shirts,T-Shirts,T-Shirts,1,1,1,1,0,1,,Catalog (default),,T-shirt.,T-shirts,T-shirts,T-shirt.,T-shirts,T-shirts,T-shirt.,T-shirts,T-shirts,T-shirt.,T-shirts,T-shirts,,,
SUB_11012_03,SUB_11012,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,1,1,1,1,0,1,,Catalog (default),,Camicie e camicette,Chemises et chemisiers,Πουκάμισα και μπλούζες,Camicie e camicette,Chemises et chemisiers,Πουκάμισα και μπλούζες,Camicie e camicette,Chemises et chemisiers,Πουκάμισα και μπλούζες,Camicie e camicette,Chemises et chemisiers,Πουκάμισα και μπλούζες,,,
SUB_11012_04,SUB_11012,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,1,1,1,1,0,1,,Catalog (default),,Maglioni e felpe con cappuccio,Pulls et Sweats à capuche,Πουλόβερ και hoodies,Maglioni e felpe con cappuccio,Pulls et Sweats à capuche,Πουλόβερ και hoodies,Maglioni e felpe con cappuccio,Pulls et Sweats à capuche,Πουλόβερ και hoodies,Maglioni e felpe con cappuccio,Pulls et Sweats à capuche,Πουλόβερ και hoodies,,,
SUB_11012_05,SUB_11012,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,1,1,1,1,0,1,,Catalog (default),,Abiti e gonne,Robes et jupes,Φορέματα και φούστες,Abiti e gonne,Robes et jupes,Φορέματα και φούστες,Abiti e gonne,Robes et jupes,Φορέματα και φούστες,Abiti e gonne,Robes et jupes,Φορέματα και φούστες,,,
SUB_11012_06,SUB_11012,Underwear,Underwear,Underwear,Underwear,1,1,1,1,0,1,,Catalog (default),,Biancheria intima,Sous-vêtement,Εσώρουχα,Biancheria intima,Sous-vêtement,Εσώρουχα,Biancheria intima,Sous-vêtement,Εσώρουχα,Biancheria intima,Sous-vêtement,Εσώρουχα,,,
SUB_11012_07,SUB_11012,Swimwear,Swimwear,Swimwear,Swimwear,1,1,1,1,0,1,,Catalog (default),,Costumi da bagno,Vêtements de bain,Μαγιό,Costumi da bagno,Vêtements de bain,Μαγιό,Costumi da bagno,Vêtements de bain,Μαγιό,Costumi da bagno,Vêtements de bain,Μαγιό,,,
SUB_12001,MC_12001,Camping,Camping,Camping,Camping,1,1,1,1,0,1,,Catalog (default),,Campeggio,Camping,Κατασκήνωση,Campeggio,Camping,Κατασκήνωση,Campeggio,Camping,Κατασκήνωση,Campeggio,Camping,Κατασκήνωση,,,
SUB_12002,MC_12001,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,1,1,1,1,0,1,,Catalog (default),,Scooter & e-scooter,Scooter & e-scooter,Σκούτερ & E-Scooter,Scooter & e-scooter,Scooter & e-scooter,Σκούτερ & E-Scooter,Scooter & e-scooter,Scooter & e-scooter,Σκούτερ & E-Scooter,Scooter & e-scooter,Scooter & e-scooter,Σκούτερ & E-Scooter,,,
SUB_12003,MC_12001,Bicycle world,Bicycle world,Bicycle world,Bicycle world,1,1,1,1,0,1,,Catalog (default),,Bicycle World.,Monde bicyclette,Κόσμος ποδηλάτου,Bicycle World.,Monde bicyclette,Κόσμος ποδηλάτου,Bicycle World.,Monde bicyclette,Κόσμος ποδηλάτου,Bicycle World.,Monde bicyclette,Κόσμος ποδηλάτου,,,
SUB_12003_01,SUB_12003,E-bikes,E-bikes,E-bikes,E-bikes,1,1,1,1,0,1,,Catalog (default),,E-Bikes.,Vélos électroniques,Ηλεκτρονικά ποδήλατα,E-Bikes.,Vélos électroniques,Ηλεκτρονικά ποδήλατα,E-Bikes.,Vélos électroniques,Ηλεκτρονικά ποδήλατα,E-Bikes.,Vélos électroniques,Ηλεκτρονικά ποδήλατα,,,
SUB_12003_02,SUB_12003,Mountain bikes,Mountain bikes,Mountain bikes,Mountain bikes,1,1,1,1,0,1,,Catalog (default),,Mountain bikes,vélo de montagne,Ποδήλατα βουνού,Mountain bikes,vélo de montagne,Ποδήλατα βουνού,Mountain bikes,vélo de montagne,Ποδήλατα βουνού,Mountain bikes,vélo de montagne,Ποδήλατα βουνού,,,
SUB_12003_03,SUB_12003,Citybikes,Citybikes,Citybikes,Citybikes,1,1,1,1,0,1,,Catalog (default),,Citybikes.,Citybikes,Citybikes,Citybikes.,Citybikes,Citybikes,Citybikes.,Citybikes,Citybikes,Citybikes.,Citybikes,Citybikes,,,
SUB_12003_04,SUB_12003,Children bikes,Children bikes,Children bikes,Children bikes,1,1,1,1,0,1,,Catalog (default),,Bambini Bikes.,Vélos pour enfants,Παιδικά ποδήλατα,Bambini Bikes.,Vélos pour enfants,Παιδικά ποδήλατα,Bambini Bikes.,Vélos pour enfants,Παιδικά ποδήλατα,Bambini Bikes.,Vélos pour enfants,Παιδικά ποδήλατα,,,
SUB_12003_05,SUB_12003,Bicycle accessories,Bicycle accessories,Bicycle accessories,Bicycle accessories,1,1,1,1,0,1,,Catalog (default),,Accessori per biciclette,Accessoires de vélo,ΑΞΕΣΟΥΑΡ ΠΟΔΗΛΑΤΟΥ,Accessori per biciclette,Accessoires de vélo,ΑΞΕΣΟΥΑΡ ΠΟΔΗΛΑΤΟΥ,Accessori per biciclette,Accessoires de vélo,ΑΞΕΣΟΥΑΡ ΠΟΔΗΛΑΤΟΥ,Accessori per biciclette,Accessoires de vélo,ΑΞΕΣΟΥΑΡ ΠΟΔΗΛΑΤΟΥ,,,
SUB_12004,MC_12001,GPS & Wearables,GPS & Wearables,GPS & Wearables,GPS & Wearables,1,1,1,1,0,1,,Catalog (default),,GPS & Wearables.,GPS & WASTABLES,GPS & Wearables,GPS & Wearables.,GPS & WASTABLES,GPS & Wearables,GPS & Wearables.,GPS & WASTABLES,GPS & Wearables,GPS & Wearables.,GPS & WASTABLES,GPS & Wearables,,,
SUB_12005,MC_12001,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,1,1,1,1,0,1,,Catalog (default),,Artigianato e artigianato,Artisanat et artisanat,Χειροτεχνία και χειροτεχνία,Artigianato e artigianato,Artisanat et artisanat,Χειροτεχνία και χειροτεχνία,Artigianato e artigianato,Artisanat et artisanat,Χειροτεχνία και χειροτεχνία,Artigianato e artigianato,Artisanat et artisanat,Χειροτεχνία και χειροτεχνία,,,
SUB_12006,MC_12001,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,1,1,1,1,0,1,,Catalog (default),,Meditazione ed esoterismo,Méditation et ésotérisme,Διαλογισμός & εσωτεριστικός,Meditazione ed esoterismo,Méditation et ésotérisme,Διαλογισμός & εσωτεριστικός,Meditazione ed esoterismo,Méditation et ésotérisme,Διαλογισμός & εσωτεριστικός,Meditazione ed esoterismo,Méditation et ésotérisme,Διαλογισμός & εσωτεριστικός,,,
SUB_12007,MC_12001,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,1,1,1,1,0,1,,Catalog (default),,Strumenti musicali e accessori,Instruments de musique et accessoires,Μουσικά όργανα και αξεσουάρ,Strumenti musicali e accessori,Instruments de musique et accessoires,Μουσικά όργανα και αξεσουάρ,Strumenti musicali e accessori,Instruments de musique et accessoires,Μουσικά όργανα και αξεσουάρ,Strumenti musicali e accessori,Instruments de musique et accessoires,Μουσικά όργανα και αξεσουάρ,,,
SUB_12008,MC_12001,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,1,1,1,1,0,1,,Catalog (default),,Attrezzature da esterno,Équipement de plein air,Εξωτερικός εξοπλισμός,Attrezzature da esterno,Équipement de plein air,Εξωτερικός εξοπλισμός,Attrezzature da esterno,Équipement de plein air,Εξωτερικός εξοπλισμός,Attrezzature da esterno,Équipement de plein air,Εξωτερικός εξοπλισμός,,,
SUB_12009,MC_12001,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,1,1,1,1,0,1,,Catalog (default),,Abbigliamento sportivo e allaperto,Vêtements de sport et dextérieur,Αθλητισμός & υπαίθρια ρούχα,Abbigliamento sportivo e allaperto,Vêtements de sport et dextérieur,Αθλητισμός & υπαίθρια ρούχα,Abbigliamento sportivo e allaperto,Vêtements de sport et dextérieur,Αθλητισμός & υπαίθρια ρούχα,Abbigliamento sportivo e allaperto,Vêtements de sport et dextérieur,Αθλητισμός & υπαίθρια ρούχα,,,
SUB_12009_01,SUB_12009,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,1,1,1,1,0,1,,Catalog (default),,Sportswear Ladies.,Sportswear Mesdames,Αθλητικές κυρίες,Sportswear Ladies.,Sportswear Mesdames,Αθλητικές κυρίες,Sportswear Ladies.,Sportswear Mesdames,Αθλητικές κυρίες,Sportswear Ladies.,Sportswear Mesdames,Αθλητικές κυρίες,,,
SUB_12009_02,SUB_12009,Sportswear Men,Sportswear Men,Sportswear Men,Sportswear Men,1,1,1,1,0,1,,Catalog (default),,Abbigliamento sportivo,Hommes de sport,Αθλητισμός,Abbigliamento sportivo,Hommes de sport,Αθλητισμός,Abbigliamento sportivo,Hommes de sport,Αθλητισμός,Abbigliamento sportivo,Hommes de sport,Αθλητισμός,,,
SUB_12009_03,SUB_12009,Sportswear children,Sportswear children,Sportswear children,Sportswear children,1,1,1,1,0,1,,Catalog (default),,Abbigliamento sportivo per bambini,Sportswear Enfants,Αθλητικά είδη,Abbigliamento sportivo,Sportswear Enfants,Αθλητικά είδη,Abbigliamento sportivo,Sportswear Enfants,Αθλητικά είδη,Abbigliamento sportivo,Sportswear Enfants,Αθλητικά είδη,,,
SUB_12009_04,SUB_12009,Sports shoes,Sports shoes,Sports shoes,Sports shoes,1,1,1,1,0,1,,Catalog (default),,Scarpe sportive,Chaussures de sport,Αθλητικά παπούτσια,Scarpe sportive,Chaussures de sport,Αθλητικά παπούτσια,Scarpe sportive,Chaussures de sport,Αθλητικά παπούτσια,Scarpe sportive,Chaussures de sport,Αθλητικά παπούτσια,,,
SUB_12010,MC_12001,Sports nutrition,Sports nutrition,Sports nutrition,Sports nutrition,1,1,1,1,0,1,,Catalog (default),,Nutrizione sportiva,Nutrition sportive,Αθλητική διατροφή,Nutrizione sportiva,Nutrition sportive,Αθλητική διατροφή,Nutrizione sportiva,Nutrition sportive,Αθλητική διατροφή,Nutrizione sportiva,Nutrition sportive,Αθλητική διατροφή,,,
SUB_13001,MC_13001,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,1,1,1,1,0,1,,Catalog (default),,Forniture per cani e accessori,Fournitures de chien et accessoires,Προμήθειες και αξεσουάρ σκυλιών,Forniture per cani e accessori,Fournitures de chien et accessoires,Προμήθειες και αξεσουάρ σκυλιών,Forniture per cani e accessori,Fournitures de chien et accessoires,Προμήθειες και αξεσουάρ σκυλιών,Forniture per cani e accessori,Fournitures de chien et accessoires,Προμήθειες και αξεσουάρ σκυλιών,,,
SUB_13001_01,SUB_13001,Dog food,Dog food,Dog food,Dog food,1,1,1,1,0,1,,Catalog (default),,Cibo per cani,Nourriture pour chien,Σκυλοτροφή,Cibo per cani,Nourriture pour chien,Σκυλοτροφή,Cibo per cani,Nourriture pour chien,Σκυλοτροφή,Cibo per cani,Nourriture pour chien,Σκυλοτροφή,,,
SUB_13001_02,SUB_13001,Dog toys,Dog toys,Dog toys,Dog toys,1,1,1,1,0,1,,Catalog (default),,Giocattoli per cani,Jouets de chien,Παιχνίδια σκυλιών,Giocattoli per cani,Jouets de chien,Παιχνίδια σκυλιών,Giocattoli per cani,Jouets de chien,Παιχνίδια σκυλιών,Giocattoli per cani,Jouets de chien,Παιχνίδια σκυλιών,,,
SUB_13002,MC_13001,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,1,1,1,1,0,1,,Catalog (default),,Forniture per gatti e accessori,Fournitures de chat et accessoires,Προμήθειες & Αξεσουάρ CAT,Forniture per gatti e accessori,Fournitures de chat et accessoires,Προμήθειες & Αξεσουάρ CAT,Forniture per gatti e accessori,Fournitures de chat et accessoires,Προμήθειες & Αξεσουάρ CAT,Forniture per gatti e accessori,Fournitures de chat et accessoires,Προμήθειες & Αξεσουάρ CAT,,,
SUB_13002_01,SUB_13002,Cat food,Cat food,Cat food,Cat food,1,1,1,1,0,1,,Catalog (default),,Cibo per gatti,La nourriture pour chat,Γατοτροφή,Cibo per gatti,La nourriture pour chat,Γατοτροφή,Cibo per gatti,La nourriture pour chat,Γατοτροφή,Cibo per gatti,La nourriture pour chat,Γατοτροφή,,,
SUB_13002_02,SUB_13002,Cat toys,Cat toys,Cat toys,Cat toys,1,1,1,1,0,1,,Catalog (default),,Giocattoli per gatti,Jouets de chat,Γάτα παιχνίδια,Giocattoli per gatti,Jouets de chat,Γάτα παιχνίδια,Giocattoli per gatti,Jouets de chat,Γάτα παιχνίδια,Giocattoli per gatti,Jouets de chat,Γάτα παιχνίδια,,,
SUB_13003,MC_13001,Aquaristics,Aquaristics,Aquaristics,Aquaristics,1,1,1,1,0,1,,Catalog (default),,Acquaristica,Aquarité,Εναλλαγή,Acquaristica,Aquarité,Εναλλαγή,Acquaristica,Aquarité,Εναλλαγή,Acquaristica,Aquarité,Εναλλαγή,,,
SUB_13004,MC_13001,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,1,1,1,1,0,1,,Catalog (default),,Forniture per roditori e piccoli forniture per animali,Fournitures de rongeurs et fournitures pour petits animaux,Προμήθειες τρωκτικών και μικρών ζώων προμήθειες,Forniture per roditori e piccoli forniture per animali,Fournitures de rongeurs et fournitures pour petits animaux,Προμήθειες τρωκτικών και μικρών ζώων προμήθειες,Forniture per roditori e piccoli forniture per animali,Fournitures de rongeurs et fournitures pour petits animaux,Προμήθειες τρωκτικών και μικρών ζώων προμήθειες,Forniture per roditori e piccoli forniture per animali,Fournitures de rongeurs et fournitures pour petits animaux,Προμήθειες τρωκτικών και μικρών ζώων προμήθειες,,,
SUB_13005,MC_13001,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,1,1,1,1,0,1,,Catalog (default),,Rettili e anfibi.,Reptiles & Amphibiens,Ερπετά και αμφίβια,Rettili e anfibi.,Reptiles & Amphibiens,Ερπετά και αμφίβια,Rettili e anfibi.,Reptiles & Amphibiens,Ερπετά και αμφίβια,Rettili e anfibi.,Reptiles & Amphibiens,Ερπετά και αμφίβια,,,
SUB_13006,MC_13001,Birds,Birds,Birds,Birds,1,1,1,1,0,1,,Catalog (default),,Uccelli,Des oiseaux,Πτηνά,Uccelli,Des oiseaux,Πτηνά,Uccelli,Des oiseaux,Πτηνά,Uccelli,Des oiseaux,Πτηνά,,,
SUB_13007,MC_13001,Horses,Horses,Horses,Horses,1,1,1,1,0,1,,Catalog (default),,Cavalli,Les chevaux,Αλογα,Cavalli,Les chevaux,Αλογα,Cavalli,Les chevaux,Αλογα,Cavalli,Les chevaux,Αλογα,,,
SUB_13008,MC_13001,Garden & Pond,Garden & Pond,Garden & Pond,Garden & Pond,1,1,1,1,0,1,,Catalog (default),,Giardino e stagno,Jardin et étang,Κήπος & Λίμνη,Giardino e stagno,Jardin et étang,Κήπος & Λίμνη,Giardino e stagno,Jardin et étang,Κήπος & Λίμνη,Giardino e stagno,Jardin et étang,Κήπος & Λίμνη,,,
SUB_14001,MC_14001,Adventure vouchers,Adventure vouchers,Adventure vouchers,Adventure vouchers,1,1,1,1,0,1,,Catalog (default),,Voucher avventura,Bouchers daventure,Κουπόνια περιπέτειας,Voucher avventura,Bouchers daventure,Κουπόνια περιπέτειας,Voucher avventura,Bouchers daventure,Κουπόνια περιπέτειας,Voucher avventura,Bouchers daventure,Κουπόνια περιπέτειας,,,
SUB_15001,MC_15001,Masks,Masks,Masks,Masks,1,1,1,1,0,1,1,Catalog (default),,Maschere,Masque,Μάσκες,Maschere,Masque,Μάσκες,Maschere,Masque,Μάσκες,Maschere,Masque,Μάσκες,,,
SUB_15002,MC_15001,Gloves,Gloves,Gloves,Gloves,1,0,1,0,0,1,2,Catalog (default),,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,Guanti,Des gants,Γάντια,,,
SUB_15003,MC_15001,"Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices",1,1,1,1,0,1,3,Catalog (default),,"Grocery, olii e spezie","Épicerie, huiles et épices","Παντοπωλείο, έλαια και μπαχαρικά","Grocery, olii e spezie","Épicerie, huiles et épices","Παντοπωλείο, έλαια και μπαχαρικά","Grocery, olii e spezie","Épicerie, huiles et épices","Παντοπωλείο, έλαια και μπαχαρικά","Grocery, olii e spezie","Épicerie, huiles et épices","Παντοπωλείο, έλαια και μπαχαρικά",,,
SUB_15004,MC_15001,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,1,1,1,1,0,1,4,Catalog (default),,Frutta e verdura,Fruits légumes,Οπωροκηπευτικά,Frutta e verdura,Fruits légumes,Οπωροκηπευτικά,Frutta e verdura,Fruits légumes,Οπωροκηπευτικά,Frutta e verdura,Fruits légumes,Οπωροκηπευτικά,,,
SUB_15005,MC_15001,"Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs",1,1,1,1,0,1,5,Catalog (default),,"Pane, latticini e uova","Pain, produits laitiers et œufs","Ψωμιά, γαλακτοκομικά και αυγά","Pane, latticini e uova","Pain, produits laitiers et œufs","Ψωμιά, γαλακτοκομικά και αυγά","Pane, latticini e uova","Pain, produits laitiers et œufs","Ψωμιά, γαλακτοκομικά και αυγά","Pane, latticini e uova","Pain, produits laitiers et œufs","Ψωμιά, γαλακτοκομικά και αυγά",,,
SUB_15006,MC_15001,Food Mart,Food Mart,Food Mart,Food Mart,1,1,1,1,0,1,6,Catalog (default),,Cibo mart,Nourriture mart,Τρόφιμα,Cibo mart,Nourriture mart,Τρόφιμα,Cibo mart,Nourriture mart,Τρόφιμα,Cibo mart,Nourriture mart,Τρόφιμα,,,
