key,translation,locale
availability_notification_subscription.mail.copyright,"<em> Copyright © Nuværende års firmanavn, alle rettigheder forbeholdes. </ em> <br> <br>",da_DK
availability_notification_subscription.mail.notification.body,"Ventetiden er forbi, du kan nu tilføje dette produkt inde i din indkøbsvogn.",da_DK
availability_notification_subscription.mail.notification.buy_now,Køb nu,da_DK
availability_notification_subscription.mail.notification.head,%name% er tilgængelig igen!,da_DK
availability_notification_subscription.mail.notification.subject,%name% er tilgængelig igen!,da_DK
availability_notification_subscription.mail.subscribed.body,"Du modtager en email, når produktet vil være tilgængeligt igen",da_DK
availability_notification_subscription.mail.subscribed.head,Vi har lige informeret vores købshold om dit abonnement!,da_DK
availability_notification_subscription.mail.subscribed.subject,Vi har lige informeret vores købshold om dit abonnement!,da_DK
availability_notification_subscription.mail.unsubscribe,"Vil du ændre, hvordan du modtager disse e-mails? <br> Du kan <et mål = ""_ blank"" href = ""%link%"" stil = ""MSO-line-højde-regel: Præcis; -ms- Tekststørrelsesjustering: 100SKIP @ Spring over.; - Webkit-Text-Size-justering: 100.Skip.com; Farve: # 656565; skrifttype: Normal; Tekst-dekoration: Understreget; ""> Afmeld af denne liste < / A>.",da_DK
availability_notification_subscription.mail.unsubscribed.body,"Du vil ikke blive underrettet, når produktet spring@skip.name.Skip.com vil være tilgængeligt igen.",da_DK
availability_notification_subscription.mail.unsubscribed.subject,"Du vil ikke blive underrettet, når produktet spring@skip.name.Skip.com vil være tilgængeligt igen.",da_DK
availability_notification.do_not_notify_me,Giv mig ikke besked om tilbage på lager,da_DK
availability_notification.email_address,Email adresse,da_DK
availability_notification.notify_me,"Advisér mig, når den er tilbage på lager",da_DK
availability_notification.subscribed,Med succes abonneret,da_DK
availability_notification.successfully_unsubscribed,Med succes afmeldt,da_DK
availability_notification.successfully_unsubscribed_text,"Du har med succes afmeldt fra at blive underrettet, når produktet er tilgængeligt igen",da_DK
availability_notification.unsubscribed,Med succes afmeldt,da_DK
benefit_deal.item_quantity,Antal:,da_DK
benefit_deal.product.attribute.manufacturer_name,Mærke:,da_DK
BenefitVouchers,Ydelseskupon,da_DK
billing.address.country.validation.not_found,Faktureringsadresse Land ikke fundet for landekode: %code%,da_DK
billing.address.validation.is_missing,Faktureringsadresse mangler,da_DK
bundle.title,Bundle inkluderer,da_DK
business_on_behalf_widget.change_company_user,Skift virksomhedsbrugere,da_DK
business_on_behalf_widget.no_selected_company,Intet valgt selskab,da_DK
camcorders.category.link,/ DA / Kameraer - & - Videokameraer / Digital-kameraer?,da_DK
cameras.category.link,/ DA / Cameras - & - Videokameraer / Digital-kameraer,da_DK
cart_note.cart_page.cart.note_added,Bemærk er blevet tilføjet til indkøbsvogn,da_DK
cart_note.cart_page.item.note_added,Bemærk er blevet tilføjet til Item '%Sku%',da_DK
cart_note.checkout_page.item_note,Bemærk,da_DK
cart_note.checkout_page.quote_note,Vogn note.,da_DK
cart_note.customer_page.item_note,Bestil vare note,da_DK
cart_note.customer_page.order_note,Bestilling note,da_DK
cart_note.form.save,Gemme,da_DK
cart_note.item_form.enter_note,Tilføj en note for varen,da_DK
cart_note.item_form.placeholder,Indtast din note,da_DK
cart_note.quote_form.enter_note,Tilføj en note til vognen,da_DK
cart_note.quote_form.placeholder,Indtast din note,da_DK
cart_page.error_message.unexpected_error,Uventet fejl opstod.,da_DK
cart_widget.empty_text,Din vogn er tom. Gå fyld det op med alle dine tekniske forhåbninger og drømme.,da_DK
cart.add-to-shopping-list,Tilføj til indkøbsliste,da_DK
cart.add-to-shopping-list.form,Gem vogn til en indkøbsliste,da_DK
cart.add-to-shopping-list.form.add_new,Tilføj ny indkøbsliste,da_DK
cart.add-to-shopping-list.form.error.empty_name,Indtast venligst indkøbsliste navn,da_DK
cart.add-to-shopping-list.form.placeholder,Indtast navn på en ny indkøbsliste,da_DK
cart.add.items.error.text,Noget gik galt. Undskyld.,da_DK
cart.add.items.success,Varer tilføjet succes,da_DK
cart.cart,Vogn,da_DK
cart.checkout,Checkout.,da_DK
cart.code.apply.failed,KODE kunne ikke anvendes,da_DK
cart.code.enter-code,Indtast kupon / gavekortkode,da_DK
cart.delete.button,Delete.,da_DK
cart.discounts,Rabatter,da_DK
cart.empty.button,Tjek tilbuddet,da_DK
cart.empty.description,"Indkøbskurven er kun ønske er at indsamle de bedste tilbud, gaver og mange andre gode produkter til dig. Så opfyld din indkøbskurvs ønske og giver mening om det!",da_DK
cart.empty.title,Din indkøbskurv er tom!,da_DK
cart.giftcard.apply.failed,Gavekortet er ikke relevant,da_DK
cart.giftcard.apply.successful,Din gavekortkode er blevet anvendt,da_DK
cart.giftcard.label,Gavekort,da_DK
cart.include.vat,inkl. Moms.,da_DK
cart.item_attributes_needed,Vælg venligst flere attributter,da_DK
cart.item_quantity,Antal,da_DK
cart.item.bundle.description,Varer i bundtet:,da_DK
cart.item.item_price,Varepris,da_DK
cart.item.item_total,Vare i alt,da_DK
cart.item.option.description,Produktindstillinger:,da_DK
cart.item.option.pre.check.validation.error.exists,"Du kan ikke ombestille produktet %name% direkte, bedes du tilføje det til din indkøbsvogn separat.",da_DK
cart.item.remove.confirm,"Er du sikker på, at du vil fjerne denne vare?",da_DK
cart.item.sku,SKU.,da_DK
cart.note-title,Vogn note.,da_DK
cart.pre.check.affiliate.failed,Vare %sku% kan ikke tilføjes til vognen.,da_DK
cart.pre.check.availability.failed,Vare %sku% har kun tilgængelighed af %stock%.,da_DK
cart.pre.check.availability.failed.empty,Vare %sku% Ikke længere tilgængelig.,da_DK
cart.pre.check.price.failed,"Pris i valgt valuta, der ikke findes for produkt med SKU '%sku%'. Venligst ændrer valutaen eller fjern produktet fra rækkefølge.",da_DK
cart.pre.check.product_discontinued,"Produkt '%name%' er afbrudt, vær venlig at vælge en alternativ.",da_DK
cart.pre.check.quantity.interval.failed,Mængde Interval Krav til produkt SKU '%sku%' er ikke opfyldt.,da_DK
cart.pre.check.quantity.max.failed,Maksimal mængde for produkt SKU '%sku%' overskrides.,da_DK
cart.pre.check.quantity.min.failed,Mindste kvantitetskrav til produkt SKU '%sku%' er ikke opfyldt.,da_DK
cart.pre.check.quantity.value.failed,Forkert mængde for produkt SKU '%sku%'.,da_DK
cart.pre.check.shipment.failed,Kan ikke anvende disse ændringer. Forsendelsesmetoden blev ikke fundet. Vælg venligst en anden forsendelsesmetode.,da_DK
cart.price,Pris,da_DK
cart.price.grand.total,i alt,da_DK
cart.price.subtotal,Subtotal.,da_DK
cart.price.subtotal_wo_deals,i alt,da_DK
cart.product-option,Produkt muligheder.,da_DK
cart.promotion.items,Salgsfremmende produkter.,da_DK
cart.quantity.adjusted,"Ønsket postmængde blev justeret, så vidt det valgte mængde ikke er tilgængelig.",da_DK
cart.remove.items.success,Produkterne blev fjernet med succes,da_DK
cart.sales-order-threshold,Minimum ordre værdi.,da_DK
cart.select.default_value,Vælg venligst en værdi,da_DK
cart.shipping,Forsendelse,da_DK
cart.shipping_standard,Forsendelsesstandard,da_DK
cart.shipping.order-item,#NAME?,da_DK
cart.title_content,Indkøbskurv,da_DK
cart.title_sidebar,Bestil Oversigt,da_DK
cart.total,i alt,da_DK
cart.total_wo_deals,i alt,da_DK
cart.total.discount,Rabat,da_DK
cart.total.price_to_pay,Pris til at betale.,da_DK
cart.total.tax_total,Skat,da_DK
cart.validate.items.price.changed,Priserne er blevet ændret for produkter med SKU '%sku%'.,da_DK
cart.voucher-title,Rabatkode,da_DK
cart.voucher.apply.failed,Din kuponkode er ugyldig.,da_DK
cart.voucher.apply.non_applicable,Voucher-koden er ugyldig,da_DK
cart.voucher.apply.successful,Din kuponkode er blevet anvendt,da_DK
cart.voucher.redeem,Indløs kode,da_DK
cart.voucher.remove,Fjerne,da_DK
cart.vouchers,Kuponer,da_DK
cart.vouchers.clear-all,Slet alt,da_DK
cart.your-order,Din bestilling,da_DK
catalog.currency,€,da_DK
catalog.filter_section.show_all,Vis mere,da_DK
catalog.filter_section.show_less,Vis mindre,da_DK
catalog.filter.active,Aktivt filter,da_DK
catalog.filter.active_rating_up,Stars & Up.,da_DK
catalog.filter.activeFilters,Aktive filtre.,da_DK
catalog.filter.button,ansøge,da_DK
catalog.filter.extras,Andre egenskaber.,da_DK
catalog.filter.filter,Filtre / sortering,da_DK
catalog.filter.hide,Skjul filter,da_DK
catalog.filter.main_color,Farve,da_DK
catalog.filter.per,Pr. Side,da_DK
catalog.filter.pricerangeFrom,fra,da_DK
catalog.filter.pricerangeTo,til,da_DK
catalog.filter.rangeFrom,Rækkevidde af,da_DK
catalog.filter.rangeTo,til,da_DK
catalog.filter.rating_up,& UP.,da_DK
catalog.filter.resetAllFilters,Nulstil alle filtre,da_DK
catalog.filter.show,Indsæt filter,da_DK
catalog.itemsFound,Resultater,da_DK
catalog.loading,Indlæser,da_DK
catalog.new,Ny,da_DK
catalog.next,Blive ved,da_DK
catalog.no-results,Ingen resultater.,da_DK
catalog.prev,tilbage,da_DK
catalog.sale,Salg,da_DK
catalog.sort,Sortering,da_DK
catalog.sort.by,Sorter efter,da_DK
catalog.sort.name_asc,Navn Ascending.,da_DK
catalog.sort.name_desc,Navn nedadgående,da_DK
catalog.sort.price_asc,Pris stigende,da_DK
catalog.sort.price_desc,Pris nedadgående,da_DK
catalog.sort.rating,Produktgruder.,da_DK
catalog.sort.relevance,Relevans.,da_DK
catalog.view.mode.grid,Grid.,da_DK
catalog.view.mode.list,Liste,da_DK
checkout.currency.my_world.shopping_points,Indfriede indkøbspoints,da_DK
checkout.customer.auth_as_guest,Køb som gæst,da_DK
checkout.customer.auth_as_login,Log på,da_DK
checkout.customer.auth_as_user,Tilmelde,da_DK
checkout.customer.order_as_guest,Bestil som gæst,da_DK
checkout.customer.proceed_as_guest,Fortsæt som gæst,da_DK
checkout.customer.proceed_as_user,Fortsæt som en registreret bruger (tilmelding),da_DK
checkout.giftcard.label,Gavekort,da_DK
checkout.nothing.will.be.sent,Derfor vil der naturligvis ikke blive sendt noget!,da_DK
checkout.payment_method.invalid,Checkout betaling er ikke gyldig,da_DK
checkout.payment.cashback_balance,Cashback / MyWorld Everoucher Balance:,da_DK
checkout.payment.cashback_balance,Cashback / MyWorld Everoucher Balance:,da_DK
checkout.payment.cashback_info,"Hvis du har Cashback Credit eller MyWorld Everoucher Credit, vises dette her, og du kan bruge det til betaling. <br/> Bemærk: Disse kan kun bruges som betaling for varer, der sælges af MyWorld.",da_DK
checkout.payment.cashback_info,"Hvis du har Cashback Credit eller MyWorld Everoucher Credit, vises dette her, og du kan bruge det til betaling. <br/> Bemærk: Disse kan kun bruges som betaling for varer, der sælges af MyWorld.",da_DK
checkout.payment.checkbox.use_evoucher_balance,Brug %price% af din %balance% Cashback / MyWorld Everoucher Balance,da_DK
checkout.payment.checkbox.use_evoucher_balance,Brug %price% af din %balance% Cashback / MyWorld Everoucher Balance,da_DK
checkout.payment.my_world.error.transaction_batch_failed,Betalingstransaktion blev ikke behandlet på grund af en anden batch-transaktionsfejl,da_DK
checkout.payment.my_world.error.transaction_exceeded_value,Betalingstransaktionsbeløb oversteg tilgængelig mængde,da_DK
checkout.payment.my_world.error.transaction_failed,Betalingstransaktion mislykkedes,da_DK
checkout.payment.my_world.error.transaction_option_not_found,Betalingstransaktion mislykkedes på grund af ukendt betalingsopsætning,da_DK
checkout.payment.myworld.payment_methods.balance_text,Balance,da_DK
checkout.payment.myworld.payment_methods.method.cashback,Penge tilbage,da_DK
checkout.payment.myworld.payment_methods.method.evoucher,evoucher.,da_DK
checkout.payment.myworld.payment_methods.method.evoucher_marketer,myworld evoucher (marketing),da_DK
checkout.payment.myworld.payment_methods.subtitle,Du kan vælge mellem følgende MyWorld Epayment Methods (Valgfrit):,da_DK
checkout.payment.myworld.payment_methods.title,myworld ePayment.,da_DK
checkout.payment.provider.DummyPayment,betalingsmetoder,da_DK
checkout.payment.provider.payment_methods,betalingsmetoder,da_DK
checkout.pre.check.shipment.failed,Ugyldig forsendelsesmetode %method_name% (%carrier_name%).,da_DK
checkout.sales-order-threshold,Minimum ordre værdi.,da_DK
checkout.step.address.is_sellable,"Kære kunde, produkter er desværre ikke tilgængelige i din leveringsadresse.",da_DK
checkout.step.address.select_address,Vælg en adresse,da_DK
checkout.step.address.title,Adresse,da_DK
checkout.step.benefit_deal.benefit_voucher,Brugt Total ydelseskuponbeløb,da_DK
checkout.step.benefit_deal.error.amount_is_bigger_then_in_items,Max mængde skal være %maxamount% %currency% (Max mængden af ​​BV). Vær venlig at bekræfte,da_DK
checkout.step.benefit_deal.error.not_enough_benefit_voucher_balance,"Desværre har du ikke nok BV til at købe dette produkt til en rabat. Nødvendigt beløb: %currency% %needamount%, din Balance: %currency% %BalanceAmount%",da_DK
checkout.step.benefit_deal.error.not_enough_shopping_points_balance,Desværre har du ikke nok sp til at købe dette produkt til en rabat.,da_DK
checkout.step.benefit_deal.error.not_spent_min_voucher_balance,"Kære kunde, du skal bruge mindst %needamount% hopp@skip.currency.skip.com fra din fordelskuponbalance for at få et ydelseskuponaftale Produkt.",da_DK
checkout.step.benefit_deal.items,Varer,da_DK
checkout.step.benefit_deal.or,eller,da_DK
checkout.step.benefit_deal.title,Bestil Oversigt,da_DK
checkout.step.benefit_deal.total_used_shopping_points,Brugte samlede indkøbspunkter,da_DK
checkout.step.benefit_deal.use_shopping_points,Brug indkøbspointsaftale,da_DK
checkout.step.benefit_deal.use_voucher,Brug ydelseskuponer (BV) til rabat,da_DK
checkout.step.benefit_deal.with_method,med,da_DK
checkout.step.confirm_payment.error,Der gik noget galt på betaling,da_DK
checkout.step.confirm_payment.error,Der gik noget galt på betaling,da_DK
checkout.step.customer.title,Log på,da_DK
checkout.step.error.link,Gå til Cart.,da_DK
checkout.step.error.sub_title,Bestilling mislykkedes på grund af fejl:,da_DK
checkout.step.error.text,Noget gik galt. Undskyld.,da_DK
checkout.step.error.title,Din ordre er ikke blevet placeret.,da_DK
checkout.step.payment,Gå til betaling,da_DK
checkout.step.payment.must_be_older_than_18_years,Du skal være mindst 18 år gammel.,da_DK
checkout.step.payment.title,Betaling,da_DK
checkout.step.place.order,Indsend din ordre,da_DK
checkout.step.shipment,Gå til Forsendelse,da_DK
checkout.step.shipment.provider.a,DHL.,da_DK
checkout.step.shipment.provider.b,Hermes.,da_DK
checkout.step.shipment.title,Forsendelse,da_DK
checkout.step.success.link,"Gå til ""Min konto""",da_DK
checkout.step.success.sub_title,Din ordre er blevet placeret med succes.,da_DK
checkout.step.success.text,Du får ordrebekræftelses-emailen om et par minutter. Du kan tjekke og spore din ordre på din konto.,da_DK
checkout.step.success.title,Tak skal du have.,da_DK
checkout.step.summary,Gå til Sammenfatning,da_DK
checkout.step.summary.billing_address,Betalingsadresse,da_DK
checkout.step.summary.delivery_address,Leveringsadresse,da_DK
checkout.step.summary.delivery_method,Leveringsmetode,da_DK
checkout.step.summary.grand_total,i alt,da_DK
checkout.step.summary.items,Varer,da_DK
checkout.step.summary.modal.email,Email:,da_DK
checkout.step.summary.modal.email_radio_label,Generer ny bekræftelseskode sendt via e-mail,da_DK
checkout.step.summary.modal.error_session_expired,"Din betalingssession er udløbet, bedes du vende tilbage til betalingstrinnet.",da_DK
checkout.step.summary.modal.error_when_resending_by_sms,"Der er en fejl, mens du forsøger at sende koden via SMS, prøv igen senere.",da_DK
checkout.step.summary.modal.info,Hvordan vil du gerne modtage din PIN-kode?,da_DK
checkout.step.summary.modal.link,Modtog ikke en kode?,da_DK
checkout.step.summary.modal.phone,Nummer:,da_DK
checkout.step.summary.modal.please_wait_30_seconds,Vent venligst 30 sekunder for at anmode om en ny kode.,da_DK
checkout.step.summary.modal.resend_already_by_mail,"Kode blev sendt via e-mail, bedes du også kontrollere din spammappe.",da_DK
checkout.step.summary.modal.resend_already_by_sms,"Kode blev sendt via SMS, bedes du tjekke.",da_DK
checkout.step.summary.modal.resend_retry,Du kan prøve at sende igen indenfor:,da_DK
checkout.step.summary.modal.sms_radio_label,Generer ny verifikationskode sendt via SMS,da_DK
checkout.step.summary.modal.submit,Send PIN-kode,da_DK
checkout.step.summary.modal.title,Modtog ikke en PIN-kode?,da_DK
checkout.step.summary.overview,Oversigt,da_DK
checkout.step.summary.payment,Betaling,da_DK
checkout.step.summary.products,Produkter,da_DK
checkout.step.summary.requested_delivery_date,Anmodet om leveringsdato,da_DK
checkout.step.summary.shipment_costs_total,Forsendelsesomkostninger (i alt),da_DK
checkout.step.summary.shipping,Forsendelse,da_DK
checkout.step.summary.sms_code_input_error,SMS-koden var ikke korrekt,da_DK
checkout.step.summary.sms_code_input_error,SMS-koden var ikke korrekt,da_DK
checkout.step.summary.sms_code_send_error,Send SMS-kode sluttet i en fejl,da_DK
checkout.step.summary.sms_code_send_error,Send SMS-kode sluttet i en fejl,da_DK
checkout.step.summary.sub_total,Subtotal.,da_DK
checkout.step.summary.tax,inkl. Skat,da_DK
checkout.step.summary.title,Resumé,da_DK
checkout.step.summary.total,Komplet checkout.,da_DK
checkout.step.summary.tracking_code,Leveringssporingskode,da_DK
checkout.step.summary.uid,UID.,da_DK
checkout.step.summary.with_method,Med,da_DK
checkout.summary.item.bundle.description,Varer i bundtet:,da_DK
checkout.summary.item.option.description,Produktindstillinger:,da_DK
checkout.thank.you,tak skal du have,da_DK
checkout.this.is.shop,Dette er en butik,da_DK
cms-product-group.category.link.text,Udforsk mere,da_DK
cms.page.filter.per,Pr. Side,da_DK
cms.page.itemsFound,Varer fundet,da_DK
cms.page.sort.name_asc,Sorter efter navn Stigende,da_DK
cms.page.sort.name_desc,Sorter efter navn faldende,da_DK
cms.page.sort.relevance,Sorter efter relevans.,da_DK
cms.preview.access_denied,"Du er ikke logget ind, eller du har ikke tilladelse til at få adgang til denne side.",da_DK
company_page.company_business_unit_restricted_message,Du har ikke tilladelser til at udføre denne operation,da_DK
company_page.company_user_restricted_message,Regelmæssige kunder må ikke fungere på virksomhedssider,da_DK
company_user.business_on_behalf.error.company_not_active,"Du kan ikke vælge denne virksomheds bruger, firmaet er ikke aktiv.",da_DK
company_user.business_on_behalf.error.company_user_invalid,"Du kan ikke vælge denne virksomheds bruger, den er ugyldig.",da_DK
company_user.change_company_user,Skift virksomhedsbrugere,da_DK
company_user.no_company,Intet selskab,da_DK
company_user.remember_choice,Husk valg,da_DK
company.account,Company Account.,da_DK
company.account.add_new_address,Definer ny adresse,da_DK
company.account.address,Adresser,da_DK
company.account.address.address1,Gade,da_DK
company.account.address.address3,Tilføjelse til adressen,da_DK
company.account.address.city,City.,da_DK
company.account.address.country,Land,da_DK
company.account.address.delete,Delete.,da_DK
company.account.address.edit,Redigere,da_DK
company.account.address.is_default_billing,Er standard faktureringsadresse,da_DK
company.account.address.number,Nummer,da_DK
company.account.address.phone,Telefon nummer,da_DK
company.account.address.zip_code,Postnummer,da_DK
company.account.authorization.success,Registrering succesfuld,da_DK
company.account.billing_address,Standard faktureringsadresse,da_DK
company.account.business_unit,Forretningsenheder.,da_DK
company.account.business_unit.add,Opret forretningsenhed,da_DK
company.account.business_unit.address,Adresser,da_DK
company.account.business_unit.create,skab,da_DK
company.account.business_unit.delete,Delete.,da_DK
company.account.business_unit.delete.confirmation.warning,Advarsel,da_DK
company.account.business_unit.details,detaljer,da_DK
company.account.business_unit.edit,Redigere,da_DK
company.account.business_unit.edit_information,Redigere,da_DK
company.account.business_unit.email,Email.,da_DK
company.account.business_unit.external_url,ekstern Url,da_DK
company.account.business_unit.name,Navn,da_DK
company.account.business_unit.phone,Telefon nummer,da_DK
company.account.business_unit.view,Udsigt,da_DK
company.account.company_name,Firmanavn,da_DK
company.account.company_role,Roller.,da_DK
company.account.company_role.add,Tilføj ny rolle,da_DK
company.account.company_role.default,Standard,da_DK
company.account.company_role.details,detaljer,da_DK
company.account.company_role.edit,Redigere,da_DK
company.account.company_role.edit_information,Rediger rolle information,da_DK
company.account.company_role.is_default,Er standard.,da_DK
company.account.company_role.name,Navn,da_DK
company.account.company_role.permission.assign,Tildele,da_DK
company.account.company_role.permission.assigned,Tildelt,da_DK
company.account.company_role.permission.configure,Konfigurere,da_DK
company.account.company_role.permission.key,Nøgle,da_DK
company.account.company_role.permission.manage,Administrer tilladelser,da_DK
company.account.company_role.permission.status,Status.,da_DK
company.account.company_role.permission.unassign,Unassign.,da_DK
company.account.company_role.permission.unassigned,Unassigned.,da_DK
company.account.company_role.permissions,Tilladelser,da_DK
company.account.company_role.user.manage,Administrer tildelte virksomhedsbrugere,da_DK
company.account.company_role.users,Brugere,da_DK
company.account.company_role.view,Udsigt,da_DK
company.account.company_user,Brugere,da_DK
company.account.company_user.add,Tilføj ny bruger,da_DK
company.account.company_user.business_unit,Forretningsenhed,da_DK
company.account.company_user.delete,Delete.,da_DK
company.account.company_user.delete.back,Tilbage,da_DK
company.account.company_user.delete.successful,Brugeren er blevet slettet,da_DK
company.account.company_user.disable,Deaktivere,da_DK
company.account.company_user.edit,Redigere,da_DK
company.account.company_user.edit_information,Rediger brugeroplysninger,da_DK
company.account.company_user.enable,Aktivér.,da_DK
company.account.company_user.name,Navn,da_DK
company.account.company_user.role,Rolle,da_DK
company.account.company_user.status.disable.error,Firmabruger kan ikke deaktiveres,da_DK
company.account.company_user.status.disable.error.cannot_disable_yourself,Du har ikke lov til at deaktivere dig selv,da_DK
company.account.company_user.status.disable.success,Firma bruger med succes deaktiveret,da_DK
company.account.company_user.status.enable.error,Virksomhedsbruger kan ikke aktiveres,da_DK
company.account.company_user.status.enable.error.cannot_enable_yourself,Du har ikke lov til at aktivere dig selv,da_DK
company.account.company_user.status.enable.success,Firma bruger succesfuldt aktiveret,da_DK
company.account.edit_address_information,Rediger adresseoplysninger,da_DK
company.account.login.email,Email.,da_DK
company.account.login.password,Adgangskode,da_DK
company.account.login.title,Få adgang til din konto,da_DK
company.account.name,firmanavn,da_DK
company.account.overview,Oversigt,da_DK
company.account.page-title,Mit firma,da_DK
company.account.registration.title,Opret konto,da_DK
company.account.shipping_address,Standard forsendelsesadresse,da_DK
company.account.table.actions,Handlinger,da_DK
company.address.heading,Virksomhedsdata.,da_DK
company.company_business_unit.delete.error.has_users,"Du kan ikke slette en forretningsenhed, mens den indeholder brugere",da_DK
company.company_role.delete.error.has_users,"Du kan ikke slette en rolle, mens den indeholder brugere",da_DK
company.user.first_name,Fornavn,da_DK
company.user.invitation.accepted,Din invitation er allerede blevet brugt,da_DK
company.user.invitation.actions,Handlinger,da_DK
company.user.invitation.business.unit,Forretningsenhed,da_DK
company.user.invitation.delete.button,Delete.,da_DK
company.user.invitation.delete.confirmation.question,"Er du sikker på, at du vil slette invitationen?",da_DK
company.user.invitation.delete.title,Slet invitation,da_DK
company.user.invitation.deleted.error.message,Invitation blev ikke slettet,da_DK
company.user.invitation.deleted.success.message,Invitation slettet succes,da_DK
company.user.invitation.expired,Din invitation er udløbet,da_DK
company.user.invitation.file,Invitationer File.,da_DK
company.user.invitation.first.name,Fornavn,da_DK
company.user.invitation.import.download.errors.file,"Nogle invitationer undlod at blive importeret. Klik på <a href=""""%link%""""> her </a> for at downloade fejlfilen",da_DK
company.user.invitation.import.error.message,Invitationer Import mislykkedes,da_DK
company.user.invitation.import.file.invalid,Importfilen er ikke gyldig,da_DK
company.user.invitation.import.title,Importer nye invitationer,da_DK
company.user.invitation.imported.title.plural,Importerede invitationer.,da_DK
company.user.invitation.invalid,Din invitation er ikke gyldig,da_DK
company.user.invitation.invite_users,Invitere brugere,da_DK
company.user.invitation.last.name,Efternavn,da_DK
company.user.invitation.mail,Post,da_DK
company.user.invitation.not.found.message,Invitation ikke fundet,da_DK
company.user.invitation.resend.button,Sendes videresendelse,da_DK
company.user.invitation.resend.confirmation.question,"Er du sikker på, at du vil sende invitationen til?",da_DK
company.user.invitation.resend.title,Resend Invitation,da_DK
company.user.invitation.resent.error.message,Invitation var ikke genstand,da_DK
company.user.invitation.resent.success.message,Invitation resent succesfuldt,da_DK
company.user.invitation.send.all.button,Send ALL,da_DK
company.user.invitation.send.button,Sende,da_DK
company.user.invitation.sent.all.error.message,Nogle invitationer kunne ikke sendes,da_DK
company.user.invitation.sent.all.none.found.message,Ingen invitationer til at sende fundet,da_DK
company.user.invitation.sent.all.success.message,Alle invitationer sendt med succes,da_DK
company.user.invitation.sent.error.message,Invitation blev ikke sendt,da_DK
company.user.invitation.sent.success.message,Invitation sendt med succes,da_DK
company.user.invitation.status,Status.,da_DK
company.user.invitation.status.accepted,Accepteret,da_DK
company.user.invitation.status.new,Ikke sendt,da_DK
company.user.invitation.status.pending,Verserende,da_DK
company.user.invitation.title.plural,Invitationer.,da_DK
company.user.last_name,Efternavn,da_DK
company.user.salutation.dr,Dr.,da_DK
company.user.salutation.mr,Hr.,da_DK
company.user.salutation.mrs,Fru.,da_DK
company.user.salutation.ms,Frk.,da_DK
configurable_bundle_note.enter_note,Tilføj en note til den konfigurerede bundt,da_DK
configurable_bundle_note.form.save,Gemme,da_DK
configurable_bundle_note.note,Konfigureret Bundle Bemærk:,da_DK
configurable_bundle_note.note_added,Bemærk er blevet tilføjet til konfigureret bundt,da_DK
configurable_bundle_page.choose_bundle_to_configure,Vælg bundle for at konfigurere,da_DK
configurable_bundle_page.configurable_bundle_list,Konfigurerbar bundle liste,da_DK
configurable_bundle_page.configurator,Konfigurator.,da_DK
configurable_bundle_page.configurator.add_to_cart,Tilføj til kurv,da_DK
configurable_bundle_page.configurator.added_to_cart,Konfigureret bundle med succes tilføjet til indkøbsvogn.,da_DK
configurable_bundle_page.configurator.product_became_unavailable,Produkt med SKU '%sku%' konfigureret til slot med id '%id%' blev utilgængelig.,da_DK
configurable_bundle_page.configurator.selected_product,Valgt produkt.,da_DK
configurable_bundle_page.configurator.sku,SKU:,da_DK
configurable_bundle_page.configurator.slot_became_unavailable,Konfigureret slot med id '%id%' blev utilgængelig.,da_DK
