key,translation,locale
cart.empty.title,Ostoskori on tyhjä!,fi_FI
cart.giftcard.apply.failed,Lahjakorttia ei sovelleta,fi_FI
cart.giftcard.apply.successful,Lahjakorttikoodi on sovellettu,fi_FI
cart.giftcard.label,Lahjakortti,fi_FI
cart.item_attributes_needed,Valitse lisää attribuutteja,fi_FI
cart.item.bundle.description,Nipun kohteita:,fi_FI
cart.item.item_price,Kohta hinta,fi_FI
cart.item.item_total,Kohta yhteensä,fi_FI
cart.item.option.description,Tuotevalinnat:,fi_FI
benefit_deal.item_quantity,Määrä:,fi_FI
benefit_deal.product.attribute.manufacturer_name,Brändi:,fi_FI
cart.item.option.pre.check.validation.error.exists,"Et voi järjestää uudelleen tuotteen %name% suoraan, lisää se ostoskoriin erikseen.",fi_FI
cart.item_quantity,Määrä,fi_FI
cart.item.remove.confirm,"Oletko varma, että haluat poistaa tämän kohteen?",fi_FI
cart.item.sku,Sku,fi_FI
cart_note.cart_page.cart.note_added,Huomautus on lisätty onnistuneesti koriin,fi_FI
cart_note.cart_page.item.note_added,"Huomaa on lisätty onnistuneesti kohtaan ""%sku%""",fi_FI
cart_note.checkout_page.item_note,Huomautus,fi_FI
cart_note.checkout_page.quote_note,Ostoskori Huomautus,fi_FI
cart_note.customer_page.item_note,Tilauskohta Huomautus,fi_FI
cart_note.customer_page.order_note,Tilaus,fi_FI
cart_note.form.save,Tallentaa,fi_FI
cart_note.item_form.enter_note,Lisää kohde kohteelle,fi_FI
cart_note.item_form.placeholder,Anna muistiinpano,fi_FI
cart_note.quote_form.enter_note,Lisää ostoskoriin,fi_FI
cart_note.quote_form.placeholder,Anna muistiinpano,fi_FI
cart.note-title,Ostoskori Huomautus,fi_FI
cart_page.error_message.unexpected_error,Odottamaton virhe tapahtui.,fi_FI
cart.pre.check.affiliate.failed,Kohde %sku% ei voi lisätä ostoskoriin.,fi_FI
cart.pre.check.availability.failed,Kohde %sku% on vain %stock%.,fi_FI
cart.pre.check.availability.failed.empty,Kohde %sku% ei enää ole käytettävissä.,fi_FI
cart.pre.check.price.failed,Hinta valitusta valuutasta ei löytynyt tuotteesta SKU '%sku%'. Vaihda valuutta tai poista tuote tilauksesta.,fi_FI
cart.pre.check.product_discontinued,"Tuote '%name%' on lopetettu, valitse vaihtoehtoinen.",fi_FI
cart.pre.check.quantity.interval.failed,"Määrävälit tuotteen SKU '%sku% ""ei täyty.",fi_FI
cart.pre.check.quantity.max.failed,"Tuotteen enimmäismäärä SKU '%sku% ""ylittyy.",fi_FI
cart.pre.check.quantity.min.failed,"Tuotteen vähimmäismäärät SKU '%sku% ""eivät täyty.",fi_FI
cart.pre.check.quantity.value.failed,Väärä määrä tuotteeseen SKU '%sku%'.,fi_FI
cart.pre.check.shipment.failed,Näitä muutoksia ei voi soveltaa. Lähetysmenetelmä ei löydy. Valitse toinen lähetysmenetelmä.,fi_FI
cart.price,Hinta,fi_FI
cart.price.grand.total,Kaikki yhteensä,fi_FI
cart.price.subtotal,Välisumma,fi_FI
cart.price.subtotal_wo_deals,Kaikki yhteensä,fi_FI
cart.product-option,Tuotevalinnat,fi_FI
cart.promotion.items,Mainostuotteet,fi_FI
cart.quantity.adjusted,Pyydetty kohteen määrä säädettiin valittuun määrään ei ole saatavilla.,fi_FI
cart.remove.items.success,Tuotteet poistettiin onnistuneesti,fi_FI
cart.sales-order-threshold,Vähimmäisjärjestys,fi_FI
cart.select.default_value,Valitse arvo,fi_FI
cart.shipping,laivaus,fi_FI
cart.shipping_standard,Shipping Standard,fi_FI
cart.shipping.order-item,+ Toimitus,fi_FI
cart.title_content,Ostoskärry,fi_FI
cart.title_sidebar,Tilauksen yleiskatsaus,fi_FI
cart.total,Kaikki yhteensä,fi_FI
cart.total_wo_deals,Kaikki yhteensä,fi_FI
cart.total.discount,Alennus,fi_FI
cart.total.price_to_pay,Hinta maksaa,fi_FI
cart.total.tax_total,Verottaa,fi_FI
cart.validate.items.price.changed,"Hinnat on muutettu tuotteille, joilla on SKU '%sku%'.",fi_FI
cart.voucher.apply.failed,Techer-koodi on virheellinen.,fi_FI
cart.voucher.apply.non_applicable,Voucher-koodi on virheellinen,fi_FI
cart.voucher.apply.successful,Kuponkikoodi on sovellettu,fi_FI
cart.voucher.redeem,Lunasta koodi,fi_FI
cart.voucher.remove,Poista,fi_FI
cart.vouchers,Kuponkeja,fi_FI
cart.vouchers.clear-all,Tyhjennä,fi_FI
cart.voucher-title,Kuponkikoodi,fi_FI
cart_widget.empty_text,Ostoskorisi on tyhjä. Mene täyttämään se kaikki tech toiveet ja unelmat.,fi_FI
cart.your-order,Tilauksesi,fi_FI
catalog.currency,€,fi_FI
catalog.filter.active,Aktiivinen suodatin,fi_FI
catalog.filter.activeFilters,Aktiiviset suodattimet,fi_FI
catalog.filter.active_rating_up,Tähdet ja ylös,fi_FI
catalog.filter.button,Käytä,fi_FI
catalog.filter.extras,Muut ominaisuudet,fi_FI
catalog.filter.filter,Suodattimet / lajittelu,fi_FI
catalog.filter.hide,Piilota suodatin,fi_FI
catalog.filter.main_color,Väri,fi_FI
catalog.filter.per,Per sivu,fi_FI
catalog.filter.pricerangeFrom,peräkkäin,fi_FI
catalog.filter.pricerangeTo,jllek,fi_FI
catalog.filter.rangeFrom,Valikoima,fi_FI
catalog.filter.rangeTo,jllek,fi_FI
catalog.filter.rating_up,Ja ylös,fi_FI
catalog.filter.resetAllFilters,Nollaa kaikki suodattimet,fi_FI
catalog.filter_section.show_all,Näytä lisää,fi_FI
catalog.filter_section.show_less,Näytä vähemmän,fi_FI
catalog.filter.show,Aseta suodatin,fi_FI
catalog.itemsFound,Tulokset,fi_FI
catalog.loading,Ladataan,fi_FI
catalog.new,Uusi,fi_FI
catalog.next,jatkaa,fi_FI
catalog.no-results,Ei tuloksia.,fi_FI
catalog.prev,takaisin,fi_FI
catalog.sale,Myynti,fi_FI
catalog.sort,Lajittelu,fi_FI
catalog.sort.by,Järjestä,fi_FI
catalog.sort.name_asc,Nimi Nouseva,fi_FI
catalog.sort.name_desc,Nimi laskeva,fi_FI
catalog.sort.price_asc,Hinta nouseva,fi_FI
catalog.sort.price_desc,Hinta laskeva,fi_FI
catalog.sort.rating,Tuoten arvosanat,fi_FI
catalog.sort.relevance,Merkityksellisyys,fi_FI
catalog.view.mode.grid,Ruudukko,fi_FI
catalog.view.mode.list,Lista,fi_FI
checkout.customer.auth_as_guest,Ostaa vieras,fi_FI
checkout.customer.auth_as_login,Kirjaudu sisään,fi_FI
checkout.customer.auth_as_user,Kirjaudu,fi_FI
checkout.customer.order_as_guest,Tilata vieraana,fi_FI
checkout.customer.proceed_as_guest,Jatka vieraana,fi_FI
checkout.customer.proceed_as_user,Jatka rekisteröityneenä käyttäjänä (rekisteröidy),fi_FI
checkout.giftcard.label,Lahjakortti,fi_FI
checkout.nothing.will.be.sent,Siksi tietenkin mikään ei lähetetä!,fi_FI
checkout.payment.cashback_balance,Cashback / Myworld Evoucher Tasapaino:,fi_FI
checkout.payment.cashback_info,"Jos sinulla on Cashback Credit tai Myworld Evoucher Credit, tämä näkyy tässä ja voit käyttää sitä maksua varten. <br/> Huomautus: Näitä voidaan käyttää vain MyWorldin myymien kohteiden maksuna.",fi_FI
checkout.payment.checkbox.use_evoucher_balance,Käytä %price% osilla osoitteesta %balance% Cashback / Myworld Evoucher Balance,fi_FI
checkout.payment_method.invalid,Checkout-maksu ei ole kelvollinen,fi_FI
checkout.payment.provider.DummyPayment,maksutavat,fi_FI
checkout.payment.provider.payment_methods,maksutavat,fi_FI
checkout.pre.check.shipment.failed,Virheellinen toimitusmenetelmä %method_name% (%carrier_name%).,fi_FI
checkout.sales-order-threshold,Vähimmäisjärjestys,fi_FI
checkout.step.address.is_sellable,"Hyvä asiakas, tuotteet eivät valitettavasti ole saatavilla toimitusosoitteesi.",fi_FI
checkout.step.address.select_address,Valitse osoite,fi_FI
checkout.step.address.title,Osoite,fi_FI
checkout.step.confirm_payment.error,Maksussa oli jotain väärin,fi_FI
checkout.step.customer.title,Kirjaudu sisään,fi_FI
checkout.step.error.text,Jotain meni pieleen. Anteeksi.,fi_FI
checkout.step.error.title,Tilauksesi ei ole asetettu.,fi_FI
checkout.step.payment,Mene maksuun,fi_FI
checkout.step.payment.must_be_older_than_18_years,Sinun on oltava vähintään 18-vuotias.,fi_FI
checkout.step.payment.title,Maksu,fi_FI
checkout.step.place.order,Lähetä tilauksesi,fi_FI
checkout.step.shipment,Siirry lähetykseen,fi_FI
checkout.step.shipment.provider.a,Dhl,fi_FI
checkout.step.shipment.provider.b,Hermes,fi_FI
checkout.step.shipment.title,Lähetys,fi_FI
checkout.step.success.link,"Siirry ""Oma tili""",fi_FI
checkout.step.success.sub_title,Tilauksesi on sijoitettu onnistuneesti.,fi_FI
checkout.step.success.text,Saat tilauksen vahvistussähköpostin muutamassa minuutissa. Voit tarkistaa ja seurata tilauksesi tilissäsi.,fi_FI
checkout.step.success.title,Kiitos.,fi_FI
checkout.step.summary,Siirry yhteenvetoon,fi_FI
checkout.step.summary.billing_address,postitusosoite,fi_FI
checkout.step.summary.delivery_address,Toimitusosoite,fi_FI
checkout.step.summary.delivery_method,Toimitustapa,fi_FI
checkout.step.summary.grand_total,Kaikki yhteensä,fi_FI
checkout.step.summary.items,Tuotteet,fi_FI
checkout.step.summary.overview,Yleiskatsaus,fi_FI
checkout.step.summary.payment,Maksu,fi_FI
checkout.step.summary.products,Tuotteet,fi_FI
checkout.step.summary.requested_delivery_date,Pyydetty toimituspäivä,fi_FI
checkout.step.summary.shipment_costs_total,Lähetyskustannukset (yhteensä),fi_FI
checkout.step.summary.shipping,Lähetys,fi_FI
checkout.step.summary.sms_code_input_error,SMS-koodi ei ollut oikea,fi_FI
checkout.step.summary.sms_code_send_error,Lähetä SMS-koodi päättyi virheeseen,fi_FI
checkout.step.summary.sub_total,Välisumma,fi_FI
checkout.step.summary.tax,sis. Verottaa,fi_FI
checkout.step.summary.title,Yhteenveto,fi_FI
checkout.step.summary.total,Täydellinen kassalle,fi_FI
checkout.step.summary.tracking_code,Toimituksen seurantakoodi,fi_FI
checkout.step.summary.uid,Uid,fi_FI
checkout.step.summary.with_method,Kanssa,fi_FI
checkout.summary.item.bundle.description,Nipun kohteita:,fi_FI
checkout.summary.item.option.description,Tuotevalinnat:,fi_FI
checkout.thank.you,Kiitos,fi_FI
checkout.this.is.shop,Tämä on kauppa,fi_FI
checkout.step.summary.modal.link,Ei saanut koodia?,fi_FI
checkout.step.summary.modal.title,Ei saanut PIN-koodia?,fi_FI
checkout.step.summary.modal.info,Miten haluat saada PIN-koodin?,fi_FI
checkout.step.summary.modal.phone,Määrä:,fi_FI
checkout.step.summary.modal.email,Sähköposti:,fi_FI
checkout.step.summary.modal.email_radio_label,Luo uusi vahvistuskoodi lähetetty sähköpostitse,fi_FI
checkout.step.summary.modal.sms_radio_label,Luo uusi vahvistuskoodi lähetetty tekstiviestillä,fi_FI
checkout.step.summary.modal.submit,Lähetä PIN-koodi,fi_FI
checkout.step.summary.modal.resend_already_by_mail,"Koodi lähetettiin sähköpostitse, tarkista myös roskapostisi kansio.",fi_FI
checkout.step.summary.modal.resend_already_by_sms,"Koodi lähetettiin tekstiviestillä, tarkista.",fi_FI
checkout.step.summary.modal.resend_retry,Voit yrittää lähettää uudelleen:,fi_FI
checkout.step.summary.modal.error_when_resending_by_sms,"On virhe, kun yrität lähettää koodia tekstiviestillä, yritä myöhemmin uudelleen.",fi_FI
checkout.step.summary.modal.please_wait_30_seconds,Odota 30 sekuntia pyytääksesi uutta koodia.,fi_FI
checkout.step.summary.modal.error_session_expired,"Maksusiessasi on päättynyt, palaa maksuvaiheeseen.",fi_FI
cms.page.filter.per,Per sivu,fi_FI
cms.page.itemsFound,Kohteita löytyi,fi_FI
cms.page.sort.name_asc,Lajittele nimi nouseva,fi_FI
cms.page.sort.name_desc,Lajittele nimen mukaan laskeva,fi_FI
cms.page.sort.relevance,Lajittele merkityksellisyydestä,fi_FI
cms.preview.access_denied,Et ole kirjautunut sisään tai sinulla ei ole lupaa käyttää tätä sivua.,fi_FI
cms-product-group.category.link.text,Tutustu lisää,fi_FI
company.account,Yrityksen tili,fi_FI
company.account.add_new_address,Määritä uusi osoite,fi_FI
company.account.address,Osoitteet,fi_FI
company.account.address.address1,Katu,fi_FI
company.account.address.address3,Osoite,fi_FI
company.account.address.city,Kaupunki,fi_FI
company.account.address.country,Maa,fi_FI
company.account.address.delete,Poistaa,fi_FI
company.account.address.edit,Muokata,fi_FI
company.account.address.is_default_billing,On oletuslasku Osoite,fi_FI
company.account.address.number,Määrä,fi_FI
company.account.address.phone,Puhelinnumero,fi_FI
company.account.address.zip_code,Postinumero,fi_FI
company.account.authorization.success,Rekisteröinti onnistui,fi_FI
company.account.billing_address,Oletus laskutusosoite,fi_FI
company.account.business_unit,Liiketoimintayksiköt,fi_FI
company.account.business_unit.add,Luo liiketoimintayksikkö,fi_FI
company.account.business_unit.address,Osoitteet,fi_FI
company.account.business_unit.create,Luoda,fi_FI
company.account.business_unit.delete,Poistaa,fi_FI
company.account.business_unit.delete.confirmation.warning,Varoitus,fi_FI
company.account.business_unit.details,Yksityiskohdat,fi_FI
company.account.business_unit.edit,Muokata,fi_FI
company.account.business_unit.edit_information,Muokata,fi_FI
company.account.business_unit.email,Sähköposti,fi_FI
company.account.business_unit.external_url,Ulkoinen URL-osoite,fi_FI
company.account.business_unit.name,Nimi,fi_FI
company.account.business_unit.phone,Puhelinnumero,fi_FI
company.account.business_unit.view,Näkymä,fi_FI
company.account.company_name,Yrityksen nimi,fi_FI
company.account.company_role,Roolit,fi_FI
company.account.company_role.add,Lisää uusi rooli,fi_FI
company.account.company_role.default,Oletusarvo,fi_FI
company.account.company_role.details,Yksityiskohdat,fi_FI
company.account.company_role.edit,Muokata,fi_FI
company.account.company_role.edit_information,Muokkaa roolitietoja,fi_FI
company.account.company_role.is_default,On oletusarvo,fi_FI
company.account.company_role.name,Nimi,fi_FI
company.account.company_role.permission.assign,Antaa,fi_FI
company.account.company_role.permission.assigned,Määrätty,fi_FI
company.account.company_role.permission.configure,Konfiguroida,fi_FI
company.account.company_role.permission.key,Avain,fi_FI
company.account.company_role.permission.manage,Hallinnoi käyttöoikeuksia,fi_FI
company.account.company_role.permissions,Oikeudet,fi_FI
company.account.company_role.permission.status,Tila,fi_FI
company.account.company_role.permission.unassign,Universign,fi_FI
company.account.company_role.permission.unassigned,Sovittu,fi_FI
company.account.company_role.user.manage,Hallitse yrityksen käyttäjiä,fi_FI
company.account.company_role.users,Käyttäjät,fi_FI
company.account.company_role.view,Näkymä,fi_FI
company.account.company_user,Käyttäjät,fi_FI
company.account.company_user.add,Lisää uusi käyttäjä,fi_FI
company.account.company_user.business_unit,Liiketoimintayksikkö,fi_FI
company.account.company_user.delete,Poistaa,fi_FI
company.account.company_user.delete.back,Takaisin,fi_FI
company.account.company_user.delete.successful,Käyttäjä on poistettu,fi_FI
company.account.company_user.disable,Poista käytöstä,fi_FI
company.account.company_user.edit,Muokata,fi_FI
company.account.company_user.edit_information,Muokkaa käyttäjätietoja,fi_FI
company.account.company_user.enable,ota käyttöön,fi_FI
company.account.company_user.name,Nimi,fi_FI
company.account.company_user.role,Rooli,fi_FI
company.account.company_user.status.disable.error,Yrityksen käyttäjä ei voi poistaa käytöstä,fi_FI
company.account.company_user.status.disable.error.cannot_disable_yourself,Et saa poistaa itsesi käytöstä,fi_FI
company.account.company_user.status.disable.success,Yrityksen käyttäjä onnistui käytöstä,fi_FI
company.account.company_user.status.enable.error,Yrityksen käyttäjä ei voi ottaa käyttöön,fi_FI
company.account.company_user.status.enable.error.cannot_enable_yourself,Et saa ottaa itseäsi,fi_FI
company.account.company_user.status.enable.success,Yrityksen käyttäjä onnistuneesti käytössä,fi_FI
company.account.edit_address_information,Muokkaa osoitetietoja,fi_FI
company.account.login.email,Sähköposti,fi_FI
company.account.login.password,Salasana,fi_FI
company.account.login.title,Kirjaudu tiliisi,fi_FI
company.account.name,Yrityksen nimi,fi_FI
company.account.overview,Yleiskatsaus,fi_FI
company.account.page-title,Minun yhtiöni,fi_FI
company.account.registration.title,Luo tili,fi_FI
company.account.shipping_address,oletustoimitusosoite,fi_FI
company.account.table.actions,Toiminnot,fi_FI
company.address.heading,Yrityksen tiedot,fi_FI
company.company_business_unit.delete.error.has_users,"Et voi poistaa liiketoimintayksikköä, kun se sisältää käyttäjiä",fi_FI
company.company_role.delete.error.has_users,"Et voi poistaa roolia, kun se sisältää käyttäjiä",fi_FI
company_page.company_business_unit_restricted_message,Sinulla ei ole oikeuksia suorittaa tätä toimintaa,fi_FI
company_page.company_user_restricted_message,Säännölliset asiakkaat eivät saa toimia yrityksen sivuilla,fi_FI
company_user.business_on_behalf.error.company_not_active,"Et voi valita tämän yrityksen käyttäjä, yritys ei ole aktiivinen.",fi_FI
company_user.business_on_behalf.error.company_user_invalid,"Et voi valita tämän yrityksen käyttäjä, se on virheellinen.",fi_FI
company_user.change_company_user,Vaihda yrityksen käyttäjä,fi_FI
company.user.first_name,Etunimi,fi_FI
company.user.invitation.accepted,Kutsusi on jo käytetty,fi_FI
company.user.invitation.actions,Toiminnot,fi_FI
company.user.invitation.business.unit,Liiketoimintayksikkö,fi_FI
company.user.invitation.delete.button,Poistaa,fi_FI
company.user.invitation.delete.confirmation.question,Haluatko varmasti poistaa kutsun?,fi_FI
company.user.invitation.deleted.error.message,Kutsua ei poisteta,fi_FI
company.user.invitation.deleted.success.message,Kutsu poistetaan onnistuneesti,fi_FI
company.user.invitation.delete.title,Poista kutsu,fi_FI
company.user.invitation.expired,Kutsusi on vanhentunut,fi_FI
company.user.invitation.file,Kutsutiedosto,fi_FI
company.user.invitation.first.name,Etunimi,fi_FI
company.user.invitation.import.download.errors.file,"Joitakin kutsuja ei tuotu. Napsauta <a href=""""%link%""> täältä </a>, jos haluat ladata virheet",fi_FI
company.user.invitation.imported.title.plural,Tuodut kutsut,fi_FI
company.user.invitation.import.error.message,Kutsut Tuonti epäonnistui,fi_FI
company.user.invitation.import.file.invalid,Tuo tiedosto ei ole kelvollinen,fi_FI
company.user.invitation.import.title,Tuo uusia kutsuja,fi_FI
company.user.invitation.invalid,Kutsu ei ole kelvollinen,fi_FI
company.user.invitation.invite_users,Kutsu käyttäjiä,fi_FI
company.user.invitation.last.name,Sukunimi,fi_FI
company.user.invitation.mail,Posti,fi_FI
company.user.invitation.not.found.message,Kutsu ei löydy,fi_FI
company.user.invitation.resend.button,Uudelleen lähettää,fi_FI
company.user.invitation.resend.confirmation.question,Haluatko varmasti lähettää kutsun uudelleen?,fi_FI
company.user.invitation.resend.title,Lähetä kutsu uudelleen,fi_FI
company.user.invitation.resent.error.message,Kutsu ei ollut väärä,fi_FI
company.user.invitation.resent.success.message,Kutsu:,fi_FI
company.user.invitation.send.all.button,Lähetä kaikki,fi_FI
company.user.invitation.send.button,Lähettää,fi_FI
company.user.invitation.sent.all.error.message,Joitakin kutsuja ei lähetetty,fi_FI
company.user.invitation.sent.all.none.found.message,Ei kutsuja lähettämään löydettyjä,fi_FI
company.user.invitation.sent.all.success.message,Kaikki kutsut lähetettiin onnistuneesti,fi_FI
company.user.invitation.sent.error.message,Kutsua ei lähetetty,fi_FI
company.user.invitation.sent.success.message,Kutsu lähetetään onnistuneesti,fi_FI
company.user.invitation.status,Tila,fi_FI
company.user.invitation.status.accepted,Hyväksytty,fi_FI
company.user.invitation.status.new,Ei lähetetty,fi_FI
company.user.invitation.status.pending,Vireillä,fi_FI
company.user.invitation.title.plural,Kutsut,fi_FI
company.user.last_name,Sukunimi,fi_FI
company_user.no_company,Mikään yritys,fi_FI
company_user.remember_choice,Muista valinta,fi_FI
company.user.salutation.dr,DR.,fi_FI
company.user.salutation.mr,Herra.,fi_FI
company.user.salutation.mrs,Rouva.,fi_FI
company.user.salutation.ms,Neiti.,fi_FI
configurable_bundle_note.enter_note,Lisää muistiinpano määritettyyn nipun,fi_FI
configurable_bundle_note.form.save,Tallentaa,fi_FI
configurable_bundle_note.note,Määritetty nippu Huomautus:,fi_FI
configurable_bundle_note.note_added,Huomautus on lisätty onnistuneesti konfiguroidun nipun,fi_FI
configurable_bundle_page.choose_bundle_to_configure,Valitse Bundle määrittääksesi,fi_FI
configurable_bundle_page.configurable_bundle_list,Konfiguroitavissa oleva nipun luettelo,fi_FI
configurable_bundle_page.configurator,Konfiguraattori,fi_FI
configurable_bundle_page.configurator.added_to_cart,Määritetty nippu lisätty onnistuneesti koriin.,fi_FI
configurable_bundle_page.configurator.add_to_cart,Lisää ostoskoriin,fi_FI
configurable_bundle_page.configurator.product_became_unavailable,"Tuote sku '%sku% ""määritetty korttipaikka id"" %id% ""ei ole käytettävissä.",fi_FI
configurable_bundle_page.configurator.selected_product,Valittu tuote,fi_FI
configurable_bundle_page.configurator.sku,SKU:,fi_FI
configurable_bundle_page.configurator.slot_became_unavailable,Määritetty paikka id '%id%' ei ole käytettävissä.,fi_FI
configurable_bundle_page.configurator.slot_page.back_link,Takaisin nippuihin,fi_FI
configurable_bundle_page.configurator.summary,Yhteenveto,fi_FI
configurable_bundle_page.configurator.summary_page_locked,Tuote vähintään yhdelle korttipaikkaan on määritettävä vierailemaan yhteenvetosivulla.,fi_FI
configurable_bundle_page.configurator.summary_page_total,Kaikki yhteensä,fi_FI
configurable_bundle_page.configurator.templates_not_found,Mallia ei ole saatavilla.,fi_FI
configurable_bundle_page.configurator.tip.header,Luo oma nippu.,fi_FI
configurable_bundle_page.configurator.tip.text,"Jos haluat luoda paketin, valitse korttipaikka vasemmalta puolelta ja valitse tuote luettelosta.",fi_FI
configurable_bundle_page.edit,Muokata,fi_FI
configurable_bundle_page.invalid_template_slot_combination,Virheellinen malli / Slot-yhdistelmä.,fi_FI
configurable_bundle_page.select,Valitse,fi_FI
configurable_bundle_page.template_not_found,Konfiguroitavaa nipun mallia ei löydy.,fi_FI
configurable_bundle_page.unselect,Unohtumaton,fi_FI
configurable_bundle.slot.validation.error.not_exists,Määritä Bundle Template -paikkaa ei ole olemassa.,fi_FI
configurable_bundle.templates.configurable-bundle-all-in.name,Kaikki peliin,fi_FI
configurable_bundle.template_slots.slot-1.name,Paikka 1,fi_FI
configurable_bundle.template_slots.slot-2.name,Paikka 2,fi_FI
configurable_bundle.template_slots.slot-3.name,Paikka 3,fi_FI
configurable_bundle.template_slots.slot-4.name,Slot 4,fi_FI
configurable_bundle.template_slots.slot-5.name,Paikka 5,fi_FI
configurable_bundle.template_slots.slot-6.name,Paikka 6,fi_FI
configurable_bundle.templates.smartstation.name,SmartStation Kit,fi_FI
configurable_bundle.template.validation.error.already_activated,Määritettävissä oleva nipun malli on jo aktivoitu.,fi_FI
configurable_bundle.template.validation.error.already_deactivated,Konfiguroitavissa oleva nipun malli on jo deaktivoitu käytöstä.,fi_FI
configurable_bundle.template.validation.error.not_exists,Konfiguroitavaa nipun mallia ei ole olemassa.,fi_FI
configured_bundle.bundle_total,Bundle Yhteensä:,fi_FI
configured_bundle_cart.error.configured_bundle_cannot_be_added,Määritettyä nippua ei voi lisätä ostoskoriin.,fi_FI
configured_bundle_cart.error.configured_bundle_cannot_be_removed,Määritettyä nippua ei voi poistaa ostoskorista.,fi_FI
configured_bundle_cart.error.configured_bundle_cannot_be_updated,Määritettyä nippua ei voi päivittää.,fi_FI
configured_bundle_cart.error.configured_bundle_not_found,"Määritetty nippu, jossa on mukana sku, ei löydy ostoskorista.",fi_FI
configured_bundle.item_sku,SKU:,fi_FI
configured_bundle_note_widget.edit_note,Muokata,fi_FI
configured_bundle_note_widget.remove_note,Poista,fi_FI
configured_bundle.order.items,Nipun kohteita:,fi_FI
configured_bundle.price,Tuote Hinta:,fi_FI
configured_bundle.quantity,Määrä:,fi_FI
